"Add Rule","Add Rule"
"%1 was added to your shopping cart.","%1 was added to your shopping cart."
"Attribute Name","Attribute Name"
"Value","Value"
"Campaign Source","Campaign Source"
"Campaign Medium","Campaign Medium"
"Campaign Name","Campaign Name"
"--Please Select--","--Please Select--"
"Rejoiner Site ID","Rejoiner Site ID"
"Rejoiner API key","Rejoiner API key"
"Rejoiner API secret","Rejoiner API secret"
"Store Domain","Store Domain"
"Pass "new customers" to Rejoiner","Pass "new customers" to Rejoiner"
"List ID","List ID"
"Scheduled Conversion API Calls","Scheduled Conversion API Calls"
"Track Phone Numbers","Track Phone Numbers"
"Track Prices with Taxes","Track Prices with Taxes"
"Persist Forms","Persist Forms"
"Generate Coupon Code","Generate Coupon Code"
"Select Shopping Cart Price Rule","Select Shopping Cart Price Rule"
"Thumbnail Width","Thumbnail Width"
"Thumbnail Height","Thumbnail Height"
"Google Analytics data","Google Analytics data"
"Custom parameters","Custom parameters"
"Accepts Marketing Permissions Capture","Accepts Marketing Permissions Capture"
"Add Accepts Marketing List ID","Add Accepts Marketing List ID"
"Show Opt-In in Guest Checkout","Show Opt-In in Guest Checkout"
"Show Opt-In in Account Registration","Show Opt-In in Account Registration"
"Show Opt-In in Login Checkout","Show Opt-In in Login Checkout"
"Show Opt-In in Customer's Account Settings","Show Opt-In in Customer's Account Settings"
"Show Opt-In at Checkout if Already Subscribed","Show Opt-In at Checkout if Already Subscribed"
"Should Opt-In be Selected by Default?","Should Opt-In be Selected by Default?"
"Opt-In Field Label","Opt-In Field Label"
"Add Opt-In's Checkbox Selector (optional),"Add Opt-In's Checkbox Selector (optional)"
"Add Opt-In's Checkbox Custom Styling (optional),"Add Opt-In's Checkbox Custom Styling (optional)"
"Enable debug mode","Enable debug mode"
"This will send the email addresses of all customers who opt-in to receive marketing from you to Rejoiner.","This will send the email addresses of all customers who opt-in to receive marketing from you to Rejoiner."
"Selecting YES will make all subscribe checkboxes selected by default. We recommend leaving the option of NO selected, so checkboxes won't be selected by default and let your customer to decide to mark checkbox or not.","Selecting YES will make all subscribe checkboxes selected by default. We recommend leaving the option of NO selected, so checkboxes won't be selected by default and let your customer to decide to mark checkbox or not."
"The copy you'd like to use for your opt-in.","The copy you'd like to use for your opt-in."
